City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,gubkinskiy,64.434,76.5026,12.85,51,91,8.63,RU,1721525878
112,faya-largeau,17.9257,19.1043,32.26,39,20,4.77,TD,1721525879
113,huanuni,-18.2667,-66.85,4.11,34,0,1.63,BO,1721525880
114,prince rupert,54.3161,-130.3201,15.83,82,100,3.09,CA,1721525704
115,mitchell,43.7094,-98.0298,26.99,65,0,1.54,US,1721525883
116,beohari,24.05,81.3833,30.08,64,100,4.53,IN,1721525884
117,mount isa,-20.7333,139.5,17.87,29,3,5.14,AU,1721525885
118,punta arenas,-53.15,-70.9167,5.06,75,40,12.86,CL,1721525886
119,kayyerkan,69.3786,87.7439,8.25,63,63,8.19,RU,1721525887
120,gaspe,48.8334,-64.4819,22.12,60,40,1.54,CA,1721525888
121,daru,-9.0763,143.2092,25.3,76,95,6.26,PG,1721525890
122,acarau,-2.8856,-40.12,23.24,85,0,5.13,BR,1721525891
123,badger,64.8,-147.5333,25.2,35,0,2.06,US,1721525892
124,bambous,-20.2567,57.4061,18.96,96,3,2.85,MU,1721525893
125,kidal,18.4411,1.4078,31.74,48,85,7.43,ML,1721525894
126,whitehorse,60.7161,-135.0538,24.43,38,75,1.54,CA,1721525895
127,kahama,-3.8333,32.6,20.49,56,91,1.7,TZ,1721525896
128,saint-francois,46.4154,3.9054,17.69,95,100,2.06,FR,1721525898
129,fort bragg,35.139,-79.006,25.85,87,75,3.6,US,1721525899
130,raton,36.9034,-104.4391,21.19,72,0,2.06,US,1721525900
131,kargopol',61.5071,38.9456,12.95,95,61,2.48,RU,1721525901
132,ormara,25.2088,64.6357,28.72,89,99,5.36,PK,1721525902
133,rudsar,37.1376,50.288,25.99,88,94,0.98,IR,1721525903
134,los chavez,34.727,-106.7384,25.1,51,70,7.46,US,1721525906
135,dobrush,52.4089,31.3237,17.09,99,18,0.91,BY,1721525907
136,bamboo flat,11.7,92.7167,29.05,84,75,2.57,IN,1721525908
137,vuktyl,63.8567,57.3094,12.45,72,82,1.31,RU,1721525909
138,georgetown,5.4112,100.3354,29.96,89,20,2.06,MY,1721525910
139,crane,31.3974,-102.3501,28.82,46,95,8.59,US,1721525911
